l_id,processed
4105555865,FALSE
4102821949,FALSE
4099692134,FALSE
4045412741,FALSE
4099688625,FALSE
4130521952,FALSE
4115916060,FALSE
4133990435,FALSE
4128245179,FALSE
4126023408,FALSE
4090619365,FALSE
4066462756,FALSE
4099685784,FALSE
4127577906,FALSE
4125894892,FALSE
4045414405,FALSE
4099690303,FALSE
4103456728,FALSE
4045409728,FALSE
4045412497,FALSE
4127229426,FALSE
4128248950,FALSE
4090592437,FALSE
4135553883,FALSE
4027614585,FALSE
4045413572,FALSE
4117095846,FALSE
4068287951,FALSE
4123346269,FALSE
4137792160,FALSE
4105549026,FALSE
4045411736,FALSE
4045413787,FALSE
4123210623,FALSE
4120205567,FALSE
4068288896,FALSE
4125116579,FALSE
4121808575,FALSE
4045413999,FALSE
4045411660,FALSE
4045413420,FALSE
4045412714,FALSE
4131658576,FALSE
4055454005,FALSE
4128659284,FALSE
4038351884,FALSE
4112202625,FALSE
4078626806,FALSE
4045427503,FALSE
4120316166,FALSE
4045416153,FALSE
4099690306,FALSE
4045416151,FALSE
4136209584,FALSE
4137018639,FALSE
4035910487,FALSE
4131759528,FALSE
4045408583,FALSE
4121809387,FALSE
4105437704,FALSE
3918198011,FALSE
4068291935,FALSE
4045416111,FALSE
4073534024,FALSE
4132400107,FALSE
4110438091,FALSE
4107289254,FALSE
4032185704,FALSE
4131640969,FALSE
4126363359,FALSE
4075286925,FALSE
4102803595,FALSE
4010401207,FALSE
4131608086,FALSE
4128140962,FALSE
4104248976,FALSE
4053973065,FALSE
4128623384,FALSE
4053967897,FALSE
4035903812,FALSE
4014920871,FALSE
4080665435,FALSE
4094247045,FALSE
4064053403,FALSE
4089785106,FALSE
4087642485,
4133509811,
4138639202,
4138021020,
4118104792,
4080642826,
4132747143,
4123139232,
3975945143,
4066464224,
4138263281,
